id,code,name
365,CST6CDT,"Central Time"
366,Canada/Atlantic,"Atlantic Time"
367,Canada/Central,"Central Time"
368,Canada/East-Saskatchewan,"Central Time"
369,Canada/Eastern,"Eastern Time"
370,Canada/Mountain,"Mountain Time"
371,Canada/Newfoundland,"Newfoundland Time"
372,Canada/Pacific,"Pacific Time"
373,Canada/Saskatchewan,"Central Time"
374,Canada/Yukon,"Pacific Time"
375,Chile/Continental,"Chile Time"
376,Chile/EasterIsland,"Easter Is. Time"
377,Cuba,"Cuba Time"
378,EET,"Eastern European Time"
379,EST5EDT,"Eastern Time"
380,Egypt,"Eastern European Time"
381,Eire,"Irish Time"
382,Etc/GMT,"Greenwich Mean Time"
383,Etc/GMT+0,"Greenwich Mean Time"
384,Etc/GMT+1,"Etc/GMT+1"
385,Etc/GMT+10,"Etc/GMT+10"
386,Etc/GMT+11,"Etc/GMT+11"
387,Etc/GMT+12,"Etc/GMT+12"
388,Etc/GMT+2,"Etc/GMT+2"
389,Etc/GMT+3,"Etc/GMT+3"
390,Etc/GMT+4,"Etc/GMT+4"
391,Etc/GMT+5,"Etc/GMT+5"
392,Etc/GMT+6,"Etc/GMT+6"
393,Etc/GMT+7,"Etc/GMT+7"
394,Etc/GMT+8,"Etc/GMT+8"
395,Etc/GMT+9,"Etc/GMT+9"
396,Etc/GMT-0,"Greenwich Mean Time"
397,Etc/GMT-1,"Etc/GMT-1"
398,Etc/GMT-10,"Etc/GMT-10"
399,Etc/GMT-11,"Etc/GMT-11"
400,Etc/GMT-12,"Etc/GMT-12"
401,Etc/GMT-13,"Etc/GMT-13"
402,Etc/GMT-14,"Etc/GMT-14"
403,Etc/GMT-2,"Etc/GMT-2"
404,Etc/GMT-3,"Etc/GMT-3"
405,Etc/GMT-4,"Etc/GMT-4"
406,Etc/GMT-5,"Etc/GMT-5"
407,Etc/GMT-6,"Etc/GMT-6"
408,Etc/GMT-7,"Etc/GMT-7"
409,Etc/GMT-8,"Etc/GMT-8"
410,Etc/GMT-9,"Etc/GMT-9"
411,Etc/GMT0,"Greenwich Mean Time"
412,Etc/Greenwich,"Greenwich Mean Time"
413,Etc/UCT,"Coordinated Universal Time"
414,Etc/UTC,"Coordinated Universal Time"
415,Etc/Universal,"Coordinated Universal Time"
416,Etc/Zulu,"Coordinated Universal Time"
417,Europe/Amsterdam,"Central European Time"
418,Europe/Andorra,"Central European Time"
419,Europe/Athens,"Eastern European Time"
420,Europe/Belfast,"British Time"
421,Europe/Belgrade,"Central European Time"
422,Europe/Berlin,"Central European Time"
423,Europe/Bratislava,"Central European Time"
424,Europe/Brussels,"Central European Time"
425,Europe/Bucharest,"Eastern European Time"
426,Europe/Budapest,"Central European Time"
427,Europe/Busingen,"Central European Time"
428,Europe/Chisinau,"Eastern European Time"
429,Europe/Copenhagen,"Central European Time"
430,Europe/Dublin,"Irish Time"
431,Europe/Gibraltar,"Central European Time"
432,Europe/Guernsey,"British Time"
433,Europe/Helsinki,"Eastern European Time"
434,Europe/Isle_of_Man,"British Time"
435,Europe/Istanbul,"Eastern European Time"
436,Europe/Jersey,"British Time"
437,Europe/Kaliningrad,"Eastern European Time"
438,Europe/Kiev,"Eastern European Time"
439,Europe/Lisbon,"Western European Time"
440,Europe/Ljubljana,"Central European Time"
441,Europe/London,"British Time"
442,Europe/Luxembourg,"Central European Time"
443,Europe/Madrid,"Central European Time"
444,Europe/Malta,"Central European Time"
445,Europe/Mariehamn,"Eastern European Time"
446,Europe/Minsk,"Moscow Time"
447,Europe/Monaco,"Central European Time"
448,Europe/Moscow,"Moscow Time"
449,Europe/Nicosia,"Eastern European Time"
450,Europe/Oslo,"Central European Time"
451,Europe/Paris,"Central European Time"
452,Europe/Podgorica,"Central European Time"
453,Europe/Prague,"Central European Time"
454,Europe/Riga,"Eastern European Time"
455,Europe/Rome,"Central European Time"
456,Europe/Samara,"Samara Time"
457,Europe/San_Marino,"Central European Time"
458,Europe/Sarajevo,"Central European Time"
459,Europe/Simferopol,"Moscow Time"
460,Europe/Skopje,"Central European Time"
461,Europe/Sofia,"Eastern European Time"
462,Europe/Stockholm,"Central European Time"
463,Europe/Tallinn,"Eastern European Time"
464,Europe/Tirane,"Central European Time"
465,Europe/Tiraspol,"Eastern European Time"
466,Europe/Uzhgorod,"Eastern European Time"
467,Europe/Vaduz,"Central European Time"
468,Europe/Vatican,"Central European Time"
469,Europe/Vienna,"Central European Time"
470,Europe/Vilnius,"Eastern European Time"
471,Europe/Volgograd,"Moscow Time"
472,Europe/Warsaw,"Central European Time"
473,Europe/Zagreb,"Central European Time"
474,Europe/Zaporozhye,"Eastern European Time"
475,Europe/Zurich,"Central European Time"
476,GB,"British Time"
477,GB-Eire,"British Time"
478,GMT,"Greenwich Mean Time"
479,GMT0,"Greenwich Mean Time"
480,Greenwich,"Greenwich Mean Time"
481,Hongkong,"Hong Kong Time"
482,Iceland,"Greenwich Mean Time"
483,Indian/Antananarivo,"Eastern Africa Time"
484,Indian/Chagos,"Indian Ocean Territory Time"
485,Indian/Christmas,"Christmas Island Time"
486,Indian/Cocos,"Cocos Islands Time"
487,Indian/Comoro,"Eastern Africa Time"
488,Indian/Kerguelen,"French Southern & Antarctic Lands Time"
489,Indian/Mahe,"Seychelles Time"
490,Indian/Maldives,"Maldives Time"
491,Indian/Mauritius,"Mauritius Time"
492,Indian/Mayotte,"Eastern Africa Time"
493,Indian/Reunion,"Reunion Time"
494,Iran,"Iran Time"
495,Israel,"Israel Time"
496,Jamaica,"Eastern Time"
497,Japan,"Japan Time"
498,Kwajalein,"Marshall Islands Time"
499,Libya,"Eastern European Time"
500,MET,"Middle Europe Time"
501,MST7MDT,"Mountain Time"
502,Mexico/BajaNorte,"Pacific Time"
503,Mexico/BajaSur,"Mountain Time"
504,Mexico/General,"Central Time"
505,NZ,"New Zealand Time"
506,NZ-CHAT,"Chatham Time"
507,Navajo,"Mountain Time"
508,PRC,"China Time"
509,PST8PDT,"Pacific Time"
510,Pacific/Apia,"West Samoa Time"
511,Pacific/Auckland,"New Zealand Time"
512,Pacific/Bougainville,"Bougainville Time"
513,Pacific/Chatham,"Chatham Time"
514,Pacific/Chuuk,"Chuuk Time"
515,Pacific/Easter,"Easter Is. Time"
516,Pacific/Efate,"Vanuatu Time"
517,Pacific/Enderbury,"Phoenix Is. Time"
518,Pacific/Fakaofo,"Tokelau Time"
519,Pacific/Fiji,"Fiji Time"
520,Pacific/Funafuti,"Tuvalu Time"
521,Pacific/Galapagos,"Galapagos Time"
522,Pacific/Gambier,"Gambier Time"
523,Pacific/Guadalcanal,"Solomon Is. Time"
524,Pacific/Guam,"Chamorro Time"
525,Pacific/Honolulu,"Hawaii Time"
526,Pacific/Johnston,"Hawaii Time"
527,Pacific/Kiritimati,"Line Is. Time"
528,Pacific/Kosrae,"Kosrae Time"
529,Pacific/Kwajalein,"Marshall Islands Time"
530,Pacific/Majuro,"Marshall Islands Time"
531,Pacific/Marquesas,"Marquesas Time"
532,Pacific/Midway,"Samoa Time"
533,Pacific/Nauru,"Nauru Time"
534,Pacific/Niue,"Niue Time"
535,Pacific/Norfolk,"Norfolk Time"
536,Pacific/Noumea,"New Caledonia Time"
537,Pacific/Pago_Pago,"Samoa Time"
538,Pacific/Palau,"Palau Time"
539,Pacific/Pitcairn,"Pitcairn Time"
540,Pacific/Pohnpei,"Ponape Time"
541,Pacific/Ponape,"Ponape Time"
542,Pacific/Port_Moresby,"Papua New Guinea Time"
543,Pacific/Rarotonga,"Cook Is. Time"
544,Pacific/Saipan,"Chamorro Time"
545,Pacific/Samoa,"Samoa Time"
546,Pacific/Tahiti,"Tahiti Time"
547,Pacific/Tarawa,"Gilbert Is. Time"
548,Pacific/Tongatapu,"Tonga Time"
549,Pacific/Truk,"Chuuk Time"
550,Pacific/Wake,"Wake Time"
551,Pacific/Wallis,"Wallis & Futuna Time"
552,Pacific/Yap,"Chuuk Time"
553,Poland,"Central European Time"
554,Portugal,"Western European Time"
555,ROK,"Korea Time"
556,Singapore,"Singapore Time"
557,SystemV/AST4,"Atlantic Time"
558,SystemV/AST4ADT,"Atlantic Time"
559,SystemV/CST6,"Central Time"
560,SystemV/CST6CDT,"Central Time"
561,SystemV/EST5,"Eastern Time"
562,SystemV/EST5EDT,"Eastern Time"
563,SystemV/HST10,"Hawaii Time"
564,SystemV/MST7,"Mountain Time"
565,SystemV/MST7MDT,"Mountain Time"
566,SystemV/PST8,"Pacific Time"
567,SystemV/PST8PDT,"Pacific Time"
568,SystemV/YST9,"Alaska Time"
569,SystemV/YST9YDT,"Alaska Time"
570,Turkey,"Eastern European Time"
571,UCT,"Coordinated Universal Time"
572,US/Alaska,"Alaska Time"
573,US/Aleutian,"Hawaii-Aleutian Time"
574,US/Arizona,"Mountain Time"
575,US/Central,"Central Time"
576,US/East-Indiana,"Eastern Time"
577,US/Eastern,"Eastern Time"
578,US/Hawaii,"Hawaii Time"
579,US/Indiana-Starke,"Central Time"
580,US/Michigan,"Eastern Time"
581,US/Mountain,"Mountain Time"
582,US/Pacific,"Pacific Time"
583,US/Pacific-New,"Pacific Time"
584,US/Samoa,"Samoa Time"
585,UTC,"Coordinated Universal Time"
586,Universal,"Coordinated Universal Time"
587,W-SU,"Moscow Time"
588,WET,"Western European Time"
589,Zulu,"Coordinated Universal Time"
